Initiative_Name,Initiative_Short_Name,Goal_USP_Benefit,Host_Organization_Type,Solution_Type,Sector,Potential_Cross_Sector,Focus_Final_Product_Supply_Chain,Market_Scope,Current_Market_Penetration,Technology_Readiness,Business_Model,Target_Group,Product_Traceability,Functional_Technical_Specifications,Product_Material_Composition,Product_Design_Service,Product_Usage_Data,Product_Repair_Data,Recycling_Data,Circularity_Info_Label,Product_ID_Type,Product_ID_Granularity,Identifier_Type,Machine_Readable_Data_Carrier,Resolver,ID_Minting,Data_Storage_Location,Data_Transport_Openness_Level,Data_Packaging,Level,If_Advanced,Data_Use_Management,Evidence,Convenience,Data_Protection,Traceability,Sector_count,Solution_Type_count,Host_Organization_Type_count,Technology_Readiness_count,Target_Group_count,Product_Traceability_count,Product_Material_Composition_count,Product_Design_Service_count,Product_Usage_Data_count,Product_Repair_Data_count,Recycling_Data_count,Circularity_Info_Label_count,Product_ID_Type_count,Product_ID_Granularity_count,Identifier_Type_count,Traceability_count
COSH! Conscious Shopping Made Easy ,@COSH.eco,"guiding consumers to local store, based on supply chain data",['private company (industry)'],['platform'],['textile'],yes,Both,Regional,High,['application'],Membership fee (per size and free use),"['market surveillance authorities', 'consumer/public', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'recycler', 'recycling material distributor and retailer', 'certification bodies', 'circular economy and interdisciplinary experts']",['unknown'],"Other functional specifications (please specify below in field ""others"")","['material information for other compliance (please specify below in field ""others"")']","['service related information (e.g. warrenty and recycling information, repair and update options)']","['user identification and method (please specify below in field ""others"")']",['unknown'],['unknown'],"['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)']",['unknown'],['batch'],['qr code'],yes,yes,Decentralized,Decentralized,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['unknown'],1,1,1,1,10,1,1,1,1,1,1,8,1,1,1,1
"COSMILE-App, health&media ",COSMILE-App,the app offers an european wide solution for information and identification of cosmetic products elabelling the information on cosmetic ingredients is uploaded by the manufacturer which ensures a reliable source the product identification is flexible currently handled via gtin or qrcode,"['private company (industry)', 'association']","['product data scheme', 'traceability solution', 'standard', 'others']",['others'],yes,Final Product,EU,Medium,['application'],Membership fee (per size and free use),"['market surveillance authorities', 'consumer/public', 'product developer and designer', 'distributor and retailer', 'consumer protection associations', 'government institutions', 'technical experts / developers (front-end, back-end)', 'production identification']","['date', 'locations']","Possible / flexible data model, relevant information for cosmetics could be included","['material information for eu compliance (e.g. reach, rohs)', 'full material declaration', 'labelling according to cosmetics product regulation']","['not relevant / not possible', 'all required information according to european cosmetic product regulation could be fulfilled with the app']","['possible / flexible data model', 'a personalisation of the cosmile-app is possible and planned for a later stage']",['not relevant / not possible'],"['possible / flexible data model', 'information on packaging composition and recycling information will included']",['possible / flexible data model'],['category'],['single item'],['qr code'],yes,yes,Centralized,Centralized,several options are possible,API,advanced,role based,labelling,verifiable credentials,App,anonymization,['tagging (qr)'],1,4,2,1,8,2,3,2,2,1,2,1,1,1,1,1
Countermark.com,Countermark,"overview countermark is a printed data carrier that works like a qr code but it can be printed using printers already in use in almost all production lines running today this will radically reduce adoption costs and allow many organisations to experiment with digitally signing products straight away plain or encrypted countermark can be plain text like a qr code that anyone can create, or encrypted, meaning that countermarks can be used in value chains where counterfeiting is an established risk only verified companies can create encrypted countermarks this is a strong powerful barrier to counterfeiting use of existing printers and ink everybody is aware of the dot printed characters on almost every food product normally best by dates and batch codes countermark uses these same printers and inks and uses two rows of characters to create a human readable digital data carrier that can be read by phone app or by eye multilingual countermark is currently supported in 4 fonts, more can be added, the four fonts are latin usa, western europe, oceania cyrillic eastern europe including greece, ukraine and russia simplified chinese china and taiwan katakana japan example fonts can be found here httpscountermarkcomblogcountermarkadifferenttypeofdatacarrierfordifferentlanguagetypes much lower capital cost that qr codes a production line speed printer for qr codes can cost approx euro 400,000, the printers needed for countermark cost about euro 7,000, almost all manufacturers already have this type of printer in use direct integration into erp the top row of the human readable countermark can be included on invoices and delivery notes, linking traceability information to financial records, meaning a company can be audited for materials long after goods have been sold more information at wwwcountermarkcom",['private company (industry)'],"['platform', 'product data scheme', 'traceability solution']",['others'],yes,Both,International,Low,['application'],Membership fee (per size and free use),"['certification bodies', 'trade associations']","['date', 'locations', 'operators']","Minimum functional specifications for compliance (e.g. energy consumption), Other functional specifications (please specify below in field ""others""), Not relevant / not possible, Possible / flexible data model, By link to a URL - can be hosted by manufacturer or third party.","['material information for eu compliance (e.g. reach, rohs)', 'material information for other compliance', 'material information after own/individual list', 'full material declaration', 'possible / flexible data model', 'by link to a url - can be hosted by manufacturer or third party.']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)', 'possible / flexible data model', 'by link to a url - data can be hosted by manufacturer or third party.']","['possible / flexible data model', 'the countermark system can', 'if the user agrees accept users email address and location.']","['repair company identification (e.g. id, address, etc.)', 'repair related information (e.g. date of repair, exchanged part, etc.)', 'possible / flexible data model', 'by link to a url - can be hosted by manufacturer or third party.']","['recycler company identification (e.g. id, address, etc.)', 'recycling related information (e.g. date of recycling, etc.)', 'possible / flexible data model', 'by link to a url - can be hosted by manufacturer or third party.']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'possible / flexible data model', 'can be showed on the phone app after scanning or by link to a url - can be hosted by manufacturer or third party.']",['instance'],"['model', 'batch', 'production order', 'single item']",['digital watermark'],yes,yes,Decentralized,Decentralized,standardized,API,advanced,role based,role based,blockchain,Unknown,anonymization,['see countermark.com'],1,3,1,1,2,3,6,4,3,4,4,11,1,4,1,1
Cradle to grave A& F traceability solution,itmatters,"a phygital tamper proof solution that helps brands and also governments monitor and control their products while engaging with end consumers throughout the products lifespan around the world tag your product to know about its true value, it matters",['private company (industry)'],['traceability solution'],['textile'],yes,Both,International,High,['prototype'],Membership fee (per size and free use),"['market surveillance authorities', 'consumer/public', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer', 'certification bodies', 'consumer protection associations', 'government institutions', 'production identification', 'circular economy and interdisciplinary experts', 'technology / platform providers', 'company identity providers', 'product identity providers']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']","Other functional specifications (please specify below in field ""others""), Company Id , type of raw material components selected for recycling purposes with other types of information organized according to recipients... UHF information for internal and external purposes (second-hand retailers, repair stores, recycling plants and government/NFC offices or data matrix, end-consumer information (product characteristics, EFP calculation tool, chemicals used in the product, % of recycled raw materials used, maintenance tips based on the IP origin of your cell phone, repair stores, access to various communities).","['material information for eu compliance (e.g. reach, rohs)', 'material information for other compliance (please specify below in field ""others"")', 'full material decleration', 'upon our brands customers decisions', 'we can provide manufacturing information based on orga ization like who made my clothes or clean clothes organization...our solution offers seamlessly the ighest possible level of interaction whether internally at company organization and externally for end consumers']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)', 'we do offer for luxury house and premium goods', 'transfert of ownership digital passport to guarantee at second hand resale stage against counterfeiting', 'neulmber of previous owners and so on..']","['user identification and method (please specify below in field ""others"")', 'usage data (e.g. purchase date, use cycles, please specify below in field ""others"")', 'al these info', 'will have to be decided and agreed with brands if it is not a legal obligation. itmatters', 'has the technology and the infrstructuire to scale up based on each brands requirements .']","['repair company identification (e.g. id, address, etc.)', 'repair related infornation (e.g. date of repair, exchanged part, etc.)', 'it is essential to define', 'at the manufacturing stage', 'which part of your production tool will be repaired later... in this case', 'we will record the reference of each spare part', ""in order to help the brand's employees when they have to help a customer. anticipate by giving the end consumers the physical location of the repair store"", 'but also so that the repair store can quickly recognize what can be repaired and order the part if necessary for an efficient after sales service.']","['recycler company identification (e.g. id, address, etc.)', 'recycling related infornation (e.g. date of recycling, etc.)', 'our a&f recycling solution can sort up to 16', '000 items per hour', 'while the brand of origin and the raw material to be recycled are simultaneously recorded in the itmatters blockchain for accurate kpi. in addition', 'our solution also separates the ""cream"" from the rest of the garments to support recyclers whose business model is based on the ""cream"".']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'our offer', 'sould permit to adjust and integrate any additional information related to our busines environment.we would be able to update any product info even after sale to guarantee the highest level of information during the lifetime journey of our brands customers retail items.']","['instance', 'category', 'our data architecture is designed with products and resources (physical product with a unique id and the product merchandise flow = resources']","['model', 'batch', 'production order', 'single item']","['rfid', 'qr code', 'digital watermark', 'bluetooth label']",yes,yes,Decentralized,Decentralized,"DPP information would be organized between the legal obligation and the decision of the brands at the end consumer level, knowing that we can always modify, adjust and increase the information in real time according to new regulations and on the instructions of our customers.",API,advanced,attribute based,enforcement,"itmatters is the only company offering the choice in using Ethereum and or a private Blockchain, as cost to generate a smart contract do exist and when it comes to use Blockchain for each unique digital ID , an affordable solution were necessary for our Retail customers.",digital wallet and webapps and a second ahnd resale dash button are featured on itmatters mobile phone apps,encrypted data,"['tagging (qr)', 'tagging (nfc/rfid)', 'gs1 digital link', 'datamatrix', 'bluetooh', 'lorawan', 'sigfox']",1,1,1,1,18,4,5,5,5,8,6,11,3,4,4,7
CREDZ,"Trusted Authentication of Product Specifications, Compliance and Certifications.","credz generates secure, scannable digital fingerprints linked to metadata to authenticate and validate the compliance of any item with global regulations unlike qr codes, credz labels offer a secure means to establish authenticity for less than a cent credz can be applied at the serial number level and create a customer connection for the life of a product",['private company (industry)'],"['platform', 'others']","['battery', 'automotive', 'others']",yes,Both,International,Low,['application'],Pay per use,"['market surveillance authorities', 'consumer/public', 'product developer and designer', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'collection', 'waste treatment and sorter', 'recycler', 'certification bodies', 'consumer protection associations', 'government institutions', 'technical experts / developers (front-end, back-end)', 'production identification', 'technology / platform providers', 'company identity providers', 'product identity providers', 'trusted intermediaries']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']",Minimum functional specifications for compliance (e.g. energy consumption),"['material information for eu compliance (e.g. reach, rohs)', 'material information for other compliance', 'material information after own/individual list', 'full material declaration']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)']","['usage data (e.g. purchase date, use cycles, please specify below in field ""others"")', 'possible / flexible data model']","['repair company identification (e.g. id, address, etc.)', 'repair related information (e.g. date of repair, exchanged part, etc.)']","['recycler company identification (e.g. id, address, etc.)', 'recycling related information (e.g. date of recycling, etc.)']","['label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'oions with proven authenticity at the serial number level/']","['instance', 'i assume instance means an individual item as opposed to a category.']","['model', 'batch', 'production order', 'single item']",['digital watermark'],yes,yes,Centralized,Decentralized,CREDZ are authenticated cnetrallu and then link to associated information through various sev=cure data methods.,API,advanced,role based,role based,verifiable credentials,A wallet-like interface can be used or delivered to other containers.,anonymization,['unknown'],3,2,1,1,19,4,4,2,2,2,2,6,2,4,1,1
CYCLANCE (Circular economy with EPCIS and IoT),CYCLANCE,"the overall goal of cyclance is to enable all branches on basis of gs1 epcis standard to connect their event data flow to create benefits for sustainable circular economy all data will available as a dpp in open standard for each individual use case in particular, each participant uses epcis to enable own business cases and all participants benefit from others data to create further use supporting companies consist mainly on current users from different branches like schaeffler, metro, stadler, sbb, ca, , different epcis supporting initiatives like rcycle, gs1 rail, gsts initiative, , different public funded projects like iof2020, circ4life, intellipack, coppa, , legal requirements diverse eu directives, german lksg, and focussing most on one of these branches electroindustry, textile, battery, food, packacking the usp results from the fact that each member profits from each others development, data, experiences while using the same standards, technologies and data flow the above describes the usp of cyclance , as the circular economy will work the better, the more participants will join with their data driven use cases","['public-private consortium', 'research']",['traceability solution'],"['textile', 'electronics', 'battery', 'automotive', 'cross-sector', 'food', 'packaging', 'pharma']",yes,Both,International,High,"['prototype', 'application']",Free,"['market surveillance authorities', 'consumer/public', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer', 'certification bodies', 'government institutions', 'technical experts / developers (front-end, back-end)', 'production identification', 'circular economy and interdisciplinary experts', 'technology / platform providers', 'company identity providers', 'product identity providers']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']","Minimum functional specifications for compliance (e.g. energy consumption), Other functional specifications (please specify below in field ""others""), ingredients, dynamic calculated material attributes",['full material decleration'],"['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)']","['usage data (e.g. purchase date, use cycles, please specify below in field ""others"")', 'e.g. purchase date', 'operational data']","['repair company identification (e.g. id, address, etc.)', 'repair related infornation (e.g. date of repair, exchanged part, etc.)']","['recycling related infornation (e.g. date of recycling, etc.)']","['environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'lot more indicators could be provided as a service']","['instance', 'category']","['batch', 'single item']","['rfid', 'qr code']",yes,yes,Decentralized,Decentralized,standardized,API,advanced,role based,role based,verifiable credentials,"responsive web design, APIs",PETs,"['tagging (qr)', 'tagging (nfc/rfid)']",8,1,2,2,17,4,1,2,3,2,1,3,2,2,2,2
Cypheme SAS,Unknown,we have developed a very strong yet inexpensive anti counterfeiting technology based on artificial intelligence,['private company (industry)'],['others'],['cross-sector'],yes,Both,International,Medium,['application'],Pay per use,"['market surveillance authorities', 'consumer/public', 'distributor and retailer', 'consumer protection associations', 'government institutions', 'production identification', 'technology / platform providers']","['date', 'locations']",Unknown,['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['instance'],"['model', 'batch', 'production order', 'single item']",['unknown'],yes,no,Centralized,Centralized,standardized,Data transfer,advanced,Unknown,Unknown,Unknown,Unknown,Unknown,['chemically unique signature printed on the packaging'],1,1,1,1,7,2,1,1,1,1,1,1,1,4,1,1
Densec ID,Unknown,"most companies focus on the software aspect of traceability however, were still missing a secure item level identifier, a sort of fingerprint for products to accompany the data held in the digital product passport our identifiers are secure, robust, physically scalable without losing data capacity, they can be created on labels or directly on object and read by a cellphone rfid will create an immense ewaste problem, we wont",['private company (industry)'],"['platform', 'traceability solution']",['cross-sector'],yes,Both,National,Low,['prototype'],Pay per use,"['circular economy and interdisciplinary experts', 'technology / platform providers', 'product identity providers']",['date'],Possible / flexible data model,['possible / flexible data model'],"['possible / flexible data model', 'in our case each component of a product could have its own unique id that has a parent-child relationship in the database. our identifiers do not have data limitation so technically we can put any and all types of information related to the products and its components. the physics scalability aspect becomes a lot more important in this situation.']",['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['unknown'],['single item'],['unknown'],yes,no,Centralized,Decentralized,Unknown,API,advanced,role based,role based,We're creating the ID technology and can plug in to any backend. ,Unknown,Unknown,['we created a new technology that is either on a label of can be created directly on an object. it is read optically.'],1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1
DESBRUNO,DESBRUNO,"track circularity with digitized and connected items, brands, retailers, people can quickly and efficiently sell, resell, rent and swap products, and activate takeback programs at scale to reduce waste and open up new revenue streams with a monetized impact of co2",['private company (industry)'],['traceability solution'],['textile'],yes,Both,EU,Low,['prototype'],Pay per use,"['consumer/public', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'recycler', 'circular economy and interdisciplinary experts']","['date', 'operators']",Possible / flexible data model,['possible / flexible data model'],['possible / flexible data model'],"['usage data (e.g. purchase date, use cycles, please specify below in field ""others"")', 'check in / check out of the items']",['possible / flexible data model'],['possible / flexible data model'],"['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'social label (e.g. ...)', 'possible / flexible data model']",['category'],['single item'],"['rfid', 'qr code']",yes,yes,Decentralized,Decentralized,standardized,API,advanced,attribute based,enforcement,blockchain,Wallet,PETs,"['tagging (qr)', 'tagging (nfc/rfid)']",1,1,1,1,8,2,1,1,2,1,1,4,1,1,2,2
Design for circularity,D4C,"support for companies in the mattress value chain in making their circular transition, one of our action is to help developp product passport for the mattress sector",['research'],['product data scheme'],"['cross-sector', 'textile']",yes,Both,Regional,Medium,['concept'],Pay per use,"['product developer and designer', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'collection', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer']",['locations'],Possible / flexible data model,['material information after own/individual list'],"['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)']",['possible / flexible data model'],['not relevant / not possible'],"['recycler company identification (e.g. id, address, etc.)', 'recycling related information (e.g. date of recycling, etc.)']","['label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)']",['unknown'],['unknown'],['unknown'],unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['unknown'],2,1,1,1,10,1,1,2,1,1,2,5,1,1,1,1
DigiPass,DigiPass,end to end supply chain visibility of dpps,['private company (industry)'],"['platform', 'traceability solution']","['cross-sector', 'textile', 'electronics', 'battery', 'automotive', 'construction', 'food', 'others']",yes,Both,International,Low,['concept'],Membership fee (per size and free use),"['consumer/public', 'product developer and designer', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'collection', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer', 'technical experts / developers (front-end, back-end)', 'production identification', 'circular economy and interdisciplinary experts', 'technology / platform providers']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']",Possible / flexible data model,['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],"['instance', 'category']","['model', 'batch', 'production order', 'single item']","['rfid', 'qr code', 'bluetooth label']",yes,yes,Decentralized,Decentralized,standardized,API,advanced,role based,role based,blockchain,Data ports,anonymization,"['tagging (qr)', 'tagging (nfc/rfid)', 'ble']",8,2,1,1,15,4,1,1,1,1,1,1,2,4,3,3
Digiprime,Unknown,focuses on enabling crosssectorial application of circular products via 1 federated platform architecture 2 circularity oriended services and 3 valuechain integration services,['public-private consortium'],['platform'],['cross-sector'],yes,Both,EU,Unknown,['prototype'],Membership fee (per size and free use),['all value chain stakeholder'],"['date', 'locations', 'transport means (e.g. vessel, track)']",Unknown,['full material decleration'],"['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)']","['usage data (e.g. purchase date, use cycles, please specify below in field ""others"")']",['no'],"['recycler company identification (e.g. id, address, etc.)', 'recycling related infornation (e.g. date of recycling, etc.)']",['certification and lca/lcc'],['category'],['model'],['qr code'],yes,no,Centralized,Decentralized,standardized,API,advanced,attribute based,labelling,blockchain,No,Authentication,['tba'],1,1,1,1,1,3,1,2,1,1,2,1,1,1,1,1
Digital Data Chain Consortium GbR,DDCC,"the digital data chain ddc has been developed from the industry for the industry it is an internationally standardized iec technical solution for the holistic, full fledged digital data chain along the whole supply chain the ddc is easy and free to be used without any specific software, protected intellectual properties or risks of lockin in ecosystems of service providers the ddc reflects the knowledge of more than 50 companies, from smes to global players, mainly based in europe",['association'],['standard'],['cross-sector'],yes,Both,International,High,['application'],Free,"['consumer/public', 'product developer and designer', 'distributor and retailer', 'consumer protection associations', 'technical experts / developers (front-end, back-end)', 'production identification', 'technology / platform providers', 'company identity providers', 'product identity providers', 'trusted intermediaries']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']","Minimum functional specifications for compliance (e.g. energy consumption), Other functional specifications (please specify below in field ""others""), One of the three DDC technologies is the VDI Guideline 2770 for the standardized provisioning of digital manufacturer documentation to the product. It can carry full product data sets of the IEC Common Data Dictionary (CDD), eCl@ss and CFIHOS, depending on the industry and the specific requirements. VDI 2770 will become an IEC standard. VDI 2770 is the Asset Administration Shell submodel for product documentation and information. For extended requirements the AAS can be used.","['material information for eu compliance (e.g. reach, rohs)', 'material information for other compliance (please specify below in field ""others"")', 'material information after own/individual list', 'full material decleration', 'the digital data chain and the asset administration shell offer several options to provide these information', 'depending on the requirements of the stakeholders. they can be provided in a simple document', 'in a machinereadable file format (e.g. xml) or as a specific asset administration submodel', 'centralized or decentralized', 'to fit the requirements of different industry sectors.']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)', 'the vdi guideline 2770 is a standardized way to provide these kind of information. a vdi 2770 conform documentation comes with metadata to each document. this document metadata ensures that the documents can be processed automatically (e.g. in document management systems or databases). at the same time it provides advanced searchability of the documents.']","['user identification and method (please specify below in field ""others"")', 'usage data (e.g. purchase date, use cycles, please specify below in field ""others"")', 'the third digital data chain technology are the information exchange platforms (ieps). to be able to access the product information that is not public', 'the user has to identify himself. the required level of identification and authorization can be flexibly adjusted to the needs of specific industries or the confidentiality level of the information. requirements up to military grade requirements can be covered. usage data can be included in the object information on the ieps or in the object specific aas.']","['repair company identification (e.g. id, address, etc.)', 'repair related infornation (e.g. date of repair, exchanged part, etc.)', 'these information can be provided in the product object on the information exchange platforms (ieps) and/or in the asset administration shell (aas) of the product object.']","['recycler company identification (e.g. id, address, etc.)', 'recycling related infornation (e.g. date of recycling, etc.)', 'these information can be provided in the product object on the information exchange platforms (ieps) and/or in the asset administration shell (aas) of the product object.']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'there are three technical options to label the products: 1.) encoding of the labels into the product id which is based on iec 61406. 2.) the dataset of the object itself can carry documents containing the labels and indicators with additional information. 3.) for extended requirements an asset administration submodel can be created for the labels and indicators', 'there are already indicators existing for ""product carbon footprint"" and ""child labour index"".']","['instance', 'category', 'the iec 61406 - identification link is currently extended to also identify categories.']","['model', 'batch', 'production order', 'single item']","['rfid', 'qr code']",yes,yes,Decentralized,Decentralized,standardized,Data transfer,advanced,role based,role based,verifiable credentials,"Mobile applications, wallets, webinterfaces (Browser) are provided. Full API descritpions to the Information Exchange Platforms are provided. All users are free to create their own access system, if required.","PETs, anonymization, PETs are used, if required anonymization is available on the Information Exchange Platform.","['tagging (qr)', 'tagging (nfc/rfid)']",1,1,1,1,10,4,9,3,4,3,3,11,3,4,2,2
Digital Green Passport,Digipass,"not only covers the parameters regarding ecodesign regulation, but guarantees trazeability of the product during its lifecycle with decentralized and verifiable under blockchain and values offer buyback programmes to extend life of products",['private company (industry)'],['product data scheme'],['electronics'],yes,Both,Regional,Low,['application'],Pay per use,"['remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'collection', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer', 'production identification', 'technology / platform providers', 'product identity providers']","['date', 'locations', 'operators']",Possible / flexible data model,['possible / flexible data model'],"['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)', 'possible / flexible data model']",['possible / flexible data model'],"['repair company identification (e.g. id, address, etc.)', 'repair related infornation (e.g. date of repair, exchanged part, etc.)', 'possible / flexible data model']","['recycler company identification (e.g. id, address, etc.)', 'recycling related infornation (e.g. date of recycling, etc.)', 'possible / flexible data model']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'possible / flexible data model']",['category'],['single item'],['qr code'],yes,yes,Decentralized,Decentralized,standardized,Data transfer,advanced,role based,role based,blockchain,Wallet,anonymization,['tagging (qr)'],1,1,1,1,11,3,1,3,1,3,3,7,1,1,1,1
"Digital mapping (German ""Abbild"") of closed-loop systems using blockchain technology.",DIBICHAIN,research project that has developed a blockchain based software prototype that allows for anonymous exchange of product data through the supply chain,['private company (industry)'],['traceability solution'],['aviation use case'],yes,Both,EU,Low,['prototype'],Free,"['consumer/public', 'remanufacturer', 'reuse', 'repair', 'recycler', 'recycling material distributor and retailer']",['date'],Minimum functional specifications for compliance (e.g. energy consumption),"['material information for eu compliance (e.g. reach, rohs)']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)']",['none'],['none'],"['recycling related infornation (e.g. date of recycling, etc.)']","['environmental indicator (e.g. co2 footprint)', 'compliance related information (e.g. rohs/reach/weee compliant)']",['instance'],['single item'],['qr code'],yes,yes,Decentralized,Decentralized,data ports,Data transfer,advanced,role based,Unknown,blockchain,Wallet,anonymization,['tagging (qr)'],1,1,1,1,6,1,1,2,1,1,1,2,1,1,1,1
